Location,Price,Beds,Area
"Gulberg Greens, Gulberg",3.01 Crore,4,7 Marla
"Bahria Enclave, Bahria Town",5.5 Crore,5,13 Marla
"D-17, Islamabad",2.6 Crore,4,6 Marla
"F-8/4, F-8",36 Crore,6,2 Kanal
"Jinnah Gardens Phase 1, Jinnah Gardens",3.6 Crore,8,12 Marla
"Emaar Canyon Views, Islamabad",12.25 Crore,7,2 Kanal
"Emaar Canyon Views, Islamabad",4.65 Crore,5,11 Marla
"Emaar Canyon Views, Islamabad",11.65 Crore,7,2 Kanal
"Emaar Canyon Views - Alma 1 Block, Emaar Canyon Views",4.65 Crore,3,14 Marla
"DHA Phase 2 - Sector D, DHA Defence Phase 2",10 Crore,8,1 Kanal
"G-13, Islamabad",3.3 Crore,5,4 Marla
"G-13, Islamabad",8 Crore,7,14 Marla
"G-13, Islamabad",8.25 Crore,7,10 Marla
"G-13, Islamabad",6.8 Crore,7,10 Marla
"G-13, Islamabad",6.1 Crore,6,7 Marla
"E-11/3, E-11",14.5 Crore,7,1 Kanal
"E-11, Islamabad",10 Crore,6,1 Kanal
"I-8/4, I-8",12.5 Crore,10,14 Marla
"I-8, Islamabad",11 Crore,6,14 Marla
"Lilly Sector - DHA Homes, DHA Valley - Lilly Sector",1.42 Crore,3,8 Marla
"G-13, Islamabad",9.5 Crore,5,10.9 Marla
"G-13/2, G-13",6.5 Crore,5,8 Marla
"G-13/1, G-13",3.9 Crore,4,4.4 Marla
"G-13/2, G-13",9 Crore,7,10.9 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.15 Crore,3,5 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.6 Crore,4,7 Marla
"Soan Garden, Islamabad",1.95 Crore,3,6 Marla
"F-7, Islamabad",72 Crore,6,4 Kanal
"DHA Phase 2 - Sector G, DHA Defence Phase 2",26 Crore,6,1.5 Kanal
"H-13, Islamabad",65 Lakh,2,2 Marla
"Gulberg Residencia, Gulberg",3.2 Crore,10,7 Marla
"G-13, Islamabad",10 Crore,7,14 Marla
"Ghauri Town Phase 4A, Ghauri Town",1.75 Crore,4,5 Marla
"Top City 1 - Block A, Top City 1",3.8 Crore,4,10 Marla
"DHA Phase 2 - Sector G, DHA Defence Phase 2",15.7 Crore,9,1.7 Kanal
"F-11, Islamabad",15 Crore,6,1 Kanal
"Pakistan Town - Phase 1, Pakistan Town",2.45 Crore,6,5 Marla
"I-10/2, I-10",4.25 Crore,5,6 Marla
"Bani Gala, Islamabad",2.05 Crore,4,5 Marla
"F-11, Islamabad",16 Crore,4,1 Kanal
"Bahria Enclave - Sector N, Bahria Enclave",2.5 Crore,3,5 Marla
"Bahria Enclave, Bahria Town",5.5 Crore,5,10 Marla
"Bahria Enclave - Sector A, Bahria Enclave",7.8 Crore,5,10 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.4 Crore,3,5 Marla
"Bahria Enclave - Sector C, Bahria Enclave",10 Crore,6,1 Kanal
"F-11/3, F-11",21 Crore,6,1 Kanal
"F-10, Islamabad",34 Crore,6,2 Kanal
"F-8, Islamabad",57.85 Crore,4,3.6 Kanal
"Bahria Enclave, Bahria Town",2.55 Crore,3,5 Marla
"Naval Anchorage - Block L, Naval Anchorage",8.6 Crore,6,1 Kanal
"Naval Anchorage - Block F, Naval Anchorage",6.25 Crore,6,14 Marla
"Gulberg Residencia - Block F, Gulberg Residencia",4.35 Crore,5,7 Marla
"Bani Gala, Islamabad",60 Lakh,2,3 Marla
"F-10/3, F-10",19 Crore,6,1.1 Kanal
"Jinnah Gardens, FECHS",3.7 Crore,7,7 Marla
"G-13, Islamabad",6.3 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",11.9 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",13 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.25 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",15 Crore,5,1 Kanal
"Bahria Enclave - Sector N, Bahria Enclave",3.2 Crore,5,8 Marla
"G-13, Islamabad",15.75 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",14 Crore,6,1 Kanal
"D-17, Islamabad",3.5 Crore,6,9.3 Marla
"MPCHS - Multi Gardens, B-17",4.1 Crore,5,10 Marla
"B-17, Islamabad",8 Crore,6,1 Kanal
"G-15, Islamabad",3.1 Crore,4,7 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.5 Crore,3,5 Marla
"F-8, Islamabad",42.5 Crore,4,2 Kanal
"DHA Defence Phase 2, DHA Defence",10.75 Crore,6,1 Kanal
"Bahria Enclave, Bahria Town",6.25 Crore,4,1 Kanal
"G-15, Islamabad",3.5 Crore,4,7 Marla
"DHA Phase 2 - Sector H, DHA Defence Phase 2",6.75 Crore,5,1 Kanal
"Bani Gala, Islamabad",3.1 Crore,5,10 Marla
"E-16/3, E-16",3 Crore,7,10 Marla
"F-6, Islamabad",25 Crore,2,1 Kanal
"Soan Garden - Block D, Soan Garden",4.25 Crore,7,10 Marla
"G-13, Islamabad",10.8 Crore,6,14 Marla
"Shah Allah Ditta, Islamabad",3 Crore,4,5 Marla
"Chattar, Islamabad",12.5 Crore,8,1.1 Kanal
"DHA Defence Phase 2, DHA Defence",12.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",12.9 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.8 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",13.9 Crore,5,1 Kanal
"Top City 1 - Block A, Top City 1",4.35 Crore,5,10 Marla
"G-10/4, G-10",13 Crore,9,14.2 Marla
"G-13, Islamabad",8.3 Crore,7,10 Marla
"F-11/1, F-11",12.25 Crore,5,1 Kanal
"Taramrri, Islamabad",85 Lakh,2,4 Marla
"B-17, Islamabad",1.85 Crore,3,5 Marla
"I-10/4, I-10",6.25 Crore,5,6 Marla
"DHA Defence Phase 2, DHA Defence",6.5 Crore,5,10 Marla
"D-12/4, D-12",24.5 Crore,9,1 Kanal
"I-8/3, I-8",12.5 Crore,6,12.4 Marla
"DHA Defence Phase 1, DHA Defence",7.85 Crore,8,1 Kanal
"Soan Garden - Block D, Soan Garden",6.75 Crore,7,17 Marla
"G-13, Islamabad",2.8 Crore,5,4 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.35 Crore,3,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3 Crore,4,8 Marla
"CBR Town Phase 1 - Block C, CBR Town Phase 1",4.25 Crore,4,12 Marla
"D-12, Islamabad",13.95 Crore,6,10 Marla
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"CBR Town Phase 1, CBR Town",3.6 Crore,5,7 Marla
"D-12/2, D-12",16 Crore,9,14 Marla
"G-13, Islamabad",10.7 Crore,8,14 Marla
"G-13, Islamabad",12 Crore,8,14 Marla
"G-13/3, G-13",8.4 Crore,8,10 Marla
"G-13, Islamabad",8.65 Crore,8,10 Marla
"G-13/1, G-13",3.9 Crore,4,4.4 Marla
"G-13/3, G-13",8.8 Crore,8,10 Marla
"G-13, Islamabad",8.9 Crore,8,10 Marla
"Islamabad Expressway, Islamabad",3.9 Crore,4,4.4 Marla
"Bani Gala, Islamabad",2 Crore,5,6 Marla
"Korang Town, Islamabad",3.1 Crore,4,14.2 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",1.85 Crore,2,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.4 Crore,3,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.7 Crore,5,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.15 Crore,5,8 Marla
"Pakistan Town - Phase 1, Pakistan Town",2.7 Crore,6,5 Marla
"G-13, Islamabad",16 Crore,8,1 Kanal
"G-13, Islamabad",8.85 Crore,8,10 Marla
"Faisal Town - F-18, Islamabad",2.6 Crore,6,5 Marla
"AGHOSH, Islamabad",4.8 Crore,7,1 Kanal
"F-10, Islamabad",19.5 Crore,6,1.1 Kanal
"E-11/2, E-11",7 Crore,7,7 Marla
"Faisal Town - F-18, Islamabad",3.9 Crore,6,8 Marla
"Top City 1, Islamabad",4.4 Crore,5,10 Marla
"F-10, Islamabad",16 Crore,6,1 Kanal
"F-10, Islamabad",27.25 Crore,10,2 Kanal
"G-13, Islamabad",10.2 Crore,8,10 Marla
"MPCHS - Block B, MPCHS - Multi Gardens",8 Crore,6,1 Kanal
"Bahria Enclave - Sector H, Bahria Enclave",2.3 Crore,3,5 Marla
"I-11/2, I-11",3.5 Crore,5,6 Marla
"MPCHS - Block E, MPCHS - Multi Gardens",3.19 Crore,5,8 Marla
"Faisal Margalla City, B-17",2.98 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",9 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"Bahria Enclave, Bahria Town",5.95 Crore,5,10 Marla
"Silver Oaks Apartments, F-10",3.5 Crore,2,2.2 Marla
"CBR Town Phase 1 - Executive Block, CBR Town Phase 1",62.5 Lakh,2,5 Marla
"Bani Gala, Islamabad",99 Lakh,3,4 Marla
"Bahria Enclave - Sector N, Bahria Enclave",3.3 Crore,5,8 Marla
"MPCHS - Multi Gardens, B-17",3.3 Crore,5,8 Marla
"B-17, Islamabad",2.4 Crore,4,7 Marla
"F-7/1, F-7",42 Crore,8,1.3 Kanal
"I-9/4, I-9",5.8 Crore,4,9.3 Marla
"DHA Phase 2 - Sector A, DHA Defence Phase 2",11.25 Crore,6,1 Kanal
"Capital Homes, H-13",58 Lakh,3,3 Marla
"Korang Town, Islamabad",9.6 Crore,7,1.2 Kanal
"CBR Town Phase 1, CBR Town",3.45 Crore,5,7 Marla
"Lehtarar Road, Islamabad",1.15 Crore,6,10 Marla
"G-15, Islamabad",3.65 Crore,5,7 Marla
"G-13, Islamabad",3.28 Crore,7,4 Marla
"G-13, Islamabad",3.5 Crore,6,4.4 Marla
"MPCHS - Block E, MPCHS - Multi Gardens",3.05 Crore,5,10 Marla
"DHA Defence Phase 2, DHA Defence",12.9 Crore,5,1 Kanal
"MPCHS - Block E, MPCHS - Multi Gardens",2.79 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",26 Crore,6,1.8 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"Soan Garden, Islamabad",5 Crore,6,12 Marla
"Soan Garden, Islamabad",3.7 Crore,5,10 Marla
"I-14, Islamabad",2.98 Crore,5,6 Marla
"Gulshan-e-Sehat 2, E-18",2.15 Crore,4,8 Marla
"E-18, Islamabad",4.8 Crore,7,1.2 Kanal
"Bani Gala, Islamabad",2.1 Crore,5,5 Marla
"I-10/2, I-10",3 Crore,5,6.7 Marla
"I-10/2, I-10",2.95 Crore,4,6.7 Marla
"I-10/2, I-10",3.7 Crore,5,6.7 Marla
"I-10/2, I-10",4 Crore,5,6.7 Marla
"F-7/3, F-7",72 Crore,6,2 Kanal
"F-7, Islamabad",45 Crore,9,1.2 Kanal
"F-11, Islamabad",40 Crore,7,2 Kanal
"F-6, Islamabad",60 Crore,5,2 Kanal
"F-6, Islamabad",65 Crore,4,3 Kanal
"F-7, Islamabad",48 Crore,6,1.3 Kanal
"G-13, Islamabad",11 Crore,6,14 Marla
"G-13, Islamabad",8.75 Crore,8,10.9 Marla
"G-11, Islamabad",8.75 Crore,6,10 Marla
"F-17, Islamabad",2.35 Crore,3,10 Marla
"Bahria Enclave - Sector I, Bahria Enclave",2.15 Crore,3,5 Marla
"PWD Housing Scheme, Islamabad",2.85 Crore,4,5 Marla
"Pakistan Town, Islamabad",2.5 Crore,4,6 Marla
"DHA Defence Phase 2, DHA Defence",11.45 Crore,6,1 Kanal
"Soan Garden - Block H Extension, Soan Garden",3.5 Crore,6,8 Marla
"Soan Garden, Islamabad",4 Crore,6,10 Marla
"DHA Defence Phase 2, DHA Defence",12.95 Crore,6,1 Kanal
"River Garden, Islamabad",3.3 Crore,5,7 Marla
"Faisal Town - F-18, Islamabad",3.3 Crore,4,8 Marla
"D-17, Islamabad",3.5 Crore,5,9.3 Marla
"Naval Anchorage - Block G, Naval Anchorage",2.6 Crore,4,5 Marla
"G-11/4, G-11",2.15 Crore,2,3.1 Marla
"Top City 1, Islamabad",4.5 Crore,6,10 Marla
"Zaraj Housing Scheme, Islamabad",6.5 Crore,5,14 Marla
"Gulberg Residencia - Block F, Gulberg Residencia",4 Crore,5,7 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.9 Crore,5,7 Marla
"Gulshan-e-Sehat 1, E-18",1.3 Crore,2,7 Marla
"I-14, Islamabad",3.2 Crore,4,6 Marla
"E-11, Islamabad",7.5 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",16.5 Crore,8,1 Kanal
"DHA Defence Phase 2, DHA Defence",16.5 Crore,7,1 Kanal
"DHA Phase 2 - Sector D, DHA Defence Phase 2",9.75 Crore,6,1 Kanal
"Bahria Enclave, Bahria Town",3.9 Crore,5,8 Marla
"CBR Town Phase 1 - Executive Block, CBR Town Phase 1",62.5 Lakh,2,5 Marla
"DHA Defence Phase 2, DHA Defence",12.95 Crore,6,1 Kanal
"Soan Garden, Islamabad",4.95 Crore,6,12 Marla
"Soan Garden, Islamabad",5.25 Crore,5,1 Kanal
"Pakistan Town, Islamabad",2.7 Crore,4,5 Marla
"G-13/1, G-13",3.15 Crore,4,4 Marla
"I-10/2, I-10",3.82 Crore,4,6 Marla
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",14.5 Crore,6,1 Kanal
"E-11, Islamabad",6.5 Crore,5,8 Marla
"Top City 1 - Block B, Top City 1",6.7 Crore,9,1 Kanal
"Faisal Margalla City, B-17",2.05 Crore,4,5 Marla
"G-13/1, G-13",8.25 Crore,5,10 Marla
"G-13/1, G-13",3.5 Crore,4,4 Marla
"Bahria Enclave - Sector C1, Bahria Enclave",4.85 Crore,5,10 Marla
"DHA Defence Phase 2, DHA Defence",9.75 Crore,6,1 Kanal
"Oleander Sector - DHA Homes Block B, DHA Valley - Oleander Sector",62 Lakh,2,5 Marla
"DHA Valley - Oleander Sector, DHA Valley",65 Lakh,2,5 Marla
"Green Avenue, Islamabad",3.9 Crore,6,8 Marla
"G-13/4, G-13",8 Crore,7,10 Marla
"Gulberg Residencia - Block T, Gulberg Residencia",4.08 Crore,5,7 Marla
"Gulberg Residencia - Block F, Gulberg Residencia",4.58 Crore,6,7 Marla
"F-11, Islamabad",14.9 Crore,6,1 Kanal
"E-11/3, E-11",13.5 Crore,5,1 Kanal
"G-9/3, G-9",9 Crore,6,14.2 Marla
"F-11, Islamabad",19.5 Crore,8,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",16 Crore,9,1.5 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"Ghauri Town Phase 7, Ghauri Town",90 Lakh,2,8 Marla
"Ghauri Town Phase 7, Ghauri Town",70 Lakh,2,7 Marla
"Ghauri Town Phase 1, Ghauri Town",2.8 Crore,5,10 Marla
"Ghauri Town, Islamabad",1.3 Crore,4,5.6 Marla
"F-10/2, F-10",19.5 Crore,6,1.1 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",5.1 Crore,5,10 Marla
"E-11/1, E-11",10.25 Crore,5,8.4 Marla
"H-13, Islamabad",1.8 Crore,4,5 Marla
"D-12/1, D-12",5.5 Crore,5,5 Marla
"Faisal Margalla City, B-17",2.8 Crore,4,7 Marla
"MPCHS - Block B, MPCHS - Multi Gardens",5 Crore,6,10 Marla
"E-11, Islamabad",19 Crore,11,1.4 Kanal
"Bahria Enclave, Bahria Town",3.99 Crore,5,10 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.45 Crore,3,5 Marla
"DHA Phase 2 - Sector B, DHA Defence Phase 2",8.5 Crore,6,1 Kanal
"DHA Phase 2 - Sector B, DHA Defence Phase 2",11.9 Crore,6,1 Kanal
"DHA Phase 2 - Sector E, DHA Defence Phase 2",8.75 Crore,6,1 Kanal
"DHA Phase 2 - Sector A, DHA Defence Phase 2",14.5 Crore,6,1 Kanal
"DHA Phase 2 - Sector B, DHA Defence Phase 2",12.9 Crore,6,1 Kanal
"DHA Phase 2 - Sector B, DHA Defence Phase 2",10 Crore,6,1 Kanal
"Ghauri Town Phase 4 C2, Ghauri Town",1.65 Crore,6,5.6 Marla
"PWD Housing Society - Block D, PWD Housing Scheme",4.2 Crore,5,10 Marla
"I-10, Islamabad",4.85 Crore,5,6 Marla
"I-10, Islamabad",3.6 Crore,5,6 Marla
"I-10, Islamabad",3.85 Crore,4,6 Marla
"Soan Garden, Islamabad",3.4 Crore,7,10 Marla
"DHA Defence Phase 2, DHA Defence",9.97 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",12.78 Crore,6,1 Kanal
"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",2.29 Crore,4,5 Marla
"D-12, Islamabad",13.5 Crore,5,10.9 Marla
"D-12/1, D-12",13.6 Crore,5,10.9 Marla
"Koral Chowk, Islamabad",1.65 Crore,4,5 Marla
"G-10/3, G-10",10.75 Crore,5,14 Marla
"DHA Defence Phase 2, DHA Defence",5.9 Crore,5,12 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.3 Crore,4,5 Marla
"Soan Garden, Islamabad",4.7 Crore,3,1 Kanal
"G-11/2, G-11",4.35 Crore,6,4.5 Marla
"Naval Anchorage - Block F, Naval Anchorage",12 Crore,3,2 Kanal
"H-13, Islamabad",1.2 Crore,2,5 Marla
"DHA Phase 3 - Block B, DHA Defence Phase 3",7 Crore,6,12.5 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.25 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",10.5 Crore,6,1 Kanal
"DHA Phase 2 - Sector J, DHA Defence Phase 2",7.25 Crore,5,10 Marla
"DHA Phase 2 - Sector A, DHA Defence Phase 2",6.5 Crore,5,10 Marla
"I-11/2, I-11",2.9 Crore,3,4 Marla
"DHA Defence Phase 2, DHA Defence",9.47 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",15 Crore,9,1 Kanal
"DHA Defence Phase 2, DHA Defence",12.79 Crore,5,1 Kanal
"DHA Phase 1 - Sector A, DHA Defence Phase 1",4.75 Crore,5,10 Marla
"DHA Defence Phase 4, DHA Defence",7.4 Crore,5,1 Kanal
"F-17, Islamabad",5.5 Crore,6,1 Kanal
"F-17, Islamabad",4.2 Crore,6,14 Marla
"F-17, Islamabad",3.48 Crore,6,8 Marla
"DHA Phase 1 - Sector C, DHA Defence Phase 1",9.25 Crore,6,1 Kanal
"Gulberg Residencia - Block A, Gulberg Residencia",12 Crore,7,1 Kanal
"D-12, Islamabad",24 Crore,10,1 Kanal
"H-13, Islamabad",1.65 Crore,4,5 Marla
"H-13, Islamabad",1.28 Crore,3,5 Marla
"G-16/4, G-16",3.85 Crore,5,7 Marla
"PWD Housing Society - Block B, PWD Housing Scheme",7.25 Crore,6,1 Kanal
"Jinnah Gardens Phase 1, Jinnah Gardens",2.3 Crore,3,7 Marla
"G-8/1, G-8",15 Crore,6,10 Marla
"Bahria Garden City - Zone 1, Bahria Garden City",6.5 Crore,6,14 Marla
"Bahria Enclave - Sector N, Bahria Enclave",3.1 Crore,5,8 Marla
"I-9/4, I-9",6.25 Crore,7,8 Marla
"I-9/4, I-9",6.25 Crore,7,8 Marla
"G-13/2, G-13",16.5 Crore,7,1 Kanal
"H-13, Islamabad",4.5 Crore,7,10 Marla
"G-13, Islamabad",8.5 Crore,6,10 Marla
"F-7/3, F-7",95 Crore,7,2 Kanal
"F-17, Islamabad",2.4 Crore,5,8 Marla
"F-17, Islamabad",2.75 Crore,5,8 Marla
"F-17, Islamabad",2.9 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",9.15 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.2 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.2 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",12.9 Crore,5,1 Kanal
"Faisal Town - F-18, Islamabad",2.99 Crore,4,6 Marla
"I-10/2, I-10",2.85 Crore,4,6 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.15 Crore,3,5 Marla
"Soan Garden - Block H, Soan Garden",4 Crore,10,12 Marla
"G-15, Islamabad",3.3 Crore,3,8 Marla
"Soan Garden, Islamabad",4.25 Crore,7,10 Marla
"Bahria Enclave - Sector G, Bahria Enclave",4.45 Crore,5,8 Marla
"Top City 1, Islamabad",4.5 Crore,5,10 Marla
"Ghauri Town Phase 4 C2, Ghauri Town",1.38 Crore,4,5 Marla
"Ghauri Town Phase 4B, Ghauri Town",1.95 Crore,4,6.1 Marla
"D-12, Islamabad",16 Crore,10,14 Marla
"D-12, Islamabad",25 Crore,9,1 Kanal
"DHA Defence Phase 2, DHA Defence",8.5 Crore,6,1 Kanal
"Soan Garden, Islamabad",6.8 Crore,6,1 Kanal
"G-9/1, G-9",8.6 Crore,5,14.2 Marla
"Bahria Enclave, Bahria Town",4.25 Crore,5,10 Marla
"Bahria Enclave, Bahria Town",5.25 Crore,5,10 Marla
"G-13/3, G-13",8.6 Crore,6,10.9 Marla
"G-13/1, G-13",4 Crore,4,4.4 Marla
"G-13/4, G-13",10.7 Crore,6,14.2 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",3.4 Crore,4,8 Marla
"Bani Gala, Islamabad",2.5 Crore,5,6 Marla
"Bani Gala, Islamabad",2.9 Crore,5,11 Marla
"D-12, Islamabad",25 Crore,9,1 Kanal
"E-7, Islamabad",58.65 Crore,4,2.1 Kanal
"Bani Gala, Islamabad",4.65 Crore,5,10 Marla
"B-17, Islamabad",1.85 Crore,4,5 Marla
"Soan Garden - Block H, Soan Garden",3.4 Crore,6,10 Marla
"F-10/1, F-10",21 Crore,6,1 Kanal
"Bahria Enclave - Sector A, Bahria Enclave",5.5 Crore,5,10 Marla
"I-10/4, I-10",4.8 Crore,5,6 Marla
"Gulberg Residencia - Block L, Gulberg Residencia",5 Crore,6,10 Marla
"Gulberg Residencia - Block L, Gulberg Residencia",3.5 Crore,5,7 Marla
"E-11/2, E-11",15 Crore,8,1 Kanal
"E-11, Islamabad",14 Crore,10,1 Kanal
"G-6, Islamabad",17.5 Crore,5,1.1 Kanal
"Bahria Enclave - Sector H, Bahria Enclave",2.95 Crore,4,6 Marla
"DHA Phase 2 - Sector C, DHA Defence Phase 2",6 Crore,4,10 Marla
"Soan Garden - Block A, Soan Garden",4.95 Crore,7,12 Marla
"I-14/1, I-14",3.75 Crore,5,6.7 Marla
"Bani Gala, Islamabad",5 Crore,5,1 Kanal
"Bani Gala, Islamabad",11.5 Crore,3,1.6 Kanal
"Bani Gala, Islamabad",1.4 Crore,2,5 Marla
"Gulberg Residencia - Block J, Gulberg Residencia",4.15 Crore,5,7 Marla
"Bahria Enclave - Sector A, Bahria Enclave",4.8 Crore,5,10 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",2.9 Crore,3,5 Marla
"DHA Phase 2 - Sector A, DHA Defence Phase 2",12.75 Crore,6,1 Kanal
"Bahria Enclave - Sector C, Bahria Enclave",9.8 Crore,5,1 Kanal
"G-14/4, G-14",3.6 Crore,4,4.4 Marla
"G-14/4, G-14",3.65 Crore,4,4.4 Marla
"G-13/3, G-13",8.75 Crore,7,10.9 Marla
"G-13, Islamabad",3.75 Crore,4,4.4 Marla
"G-11, Islamabad",5.1 Crore,4,8 Marla
"I-10/2, I-10",4.7 Crore,5,6 Marla
"Bahria Enclave - Sector A, Bahria Enclave",4.5 Crore,4,10 Marla
"Faisal Town - F-18, Islamabad",2.45 Crore,6,5 Marla
"D-12/4, D-12",10 Crore,5,8 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",2.4 Crore,3,5 Marla
"G-9, Islamabad",17 Crore,5,14.2 Marla
"G-13, Islamabad",2.95 Crore,4,4 Marla
"F-8, Islamabad",58 Crore,6,3.6 Kanal
"F-11/4, F-11",17 Crore,7,1 Kanal
"DHA Phase 2 - Sector B, DHA Defence Phase 2",5 Crore,5,10 Marla
"G-13/2, G-13",6.3 Crore,5,8 Marla
"Faisal Margalla City, B-17",2.85 Crore,5,8 Marla
"Bahria Enclave - Sector C, Bahria Enclave",10 Crore,5,1 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",4.2 Crore,5,10 Marla
"Bahria Enclave - Sector C1, Bahria Enclave",5.25 Crore,5,10 Marla
"Bahria Enclave - Sector C3, Bahria Enclave",5.45 Crore,5,10 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4.5 Crore,5,10 Marla
"Bahria Enclave - Sector G, Bahria Enclave",3.8 Crore,5,8 Marla
"Bahria Enclave - Sector G, Bahria Enclave",2.55 Crore,5,8 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.65 Crore,3,5 Marla
"B-17, Islamabad",4.9 Crore,4,10 Marla
"F-11/3, F-11",20 Crore,6,1 Kanal
"E-7, Islamabad",67 Crore,6,1.6 Kanal
"G-6, Islamabad",22 Crore,5,1.1 Kanal
"Faisal Town - F-18, Islamabad",3.15 Crore,6,8 Marla
"Faisal Town - F-18, Islamabad",3.3 Crore,6,8 Marla
"G-16/4, G-16",3.85 Crore,5,8 Marla
"Faisal Town - F-18, Islamabad",3.15 Crore,6,8 Marla
"Soan Garden - Block A, Soan Garden",5 Crore,7,12 Marla
"Bani Gala, Islamabad",1.35 Crore,2,6 Marla
"DHA Defence Phase 2, DHA Defence",16.95 Crore,6,1.2 Kanal
"Zaraj Housing Scheme, Islamabad",6.5 Crore,5,14 Marla
"Bahria Enclave - Sector I, Bahria Enclave",2.6 Crore,6,8 Marla
"Bahria Enclave, Bahria Town",2.4 Crore,3,5 Marla
"Bahria Enclave, Bahria Town",9.5 Crore,6,1 Kanal
"Bahria Enclave, Bahria Town",5.2 Crore,5,10 Marla
"Top City 1, Islamabad",4.4 Crore,5,10 Marla
"Bahria Enclave - Sector C3, Bahria Enclave",4.3 Crore,5,10 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.45 Crore,3,5 Marla
"F-6/1, F-6",21 Crore,4,17.8 Marla
"DHA Defence Phase 2, DHA Defence",10 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",13 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",15 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.9 Crore,6,1 Kanal
"Bahria Enclave - Sector H, Bahria Enclave",2.8 Crore,3,5 Marla
"G-13/1, G-13",3.6 Crore,4,4 Marla
"E-18, Islamabad",3.1 Crore,7,12.4 Marla
"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",3.6 Crore,5,8 Marla
"I-14/1, I-14",3 Crore,4,6 Marla
"Chatha Bakhtawar, Islamabad",4 Crore,6,10 Marla
"F-10, Islamabad",22 Crore,6,1.3 Kanal
"F-10/4, F-10",35 Crore,10,2 Kanal
"D-12, Islamabad",4.5 Crore,3,4.5 Marla
"D-12, Islamabad",4.5 Crore,3,4.5 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.2 Crore,3,5 Marla
"I-11, Islamabad",5.5 Crore,6,7 Marla
"G-11, Islamabad",6.5 Crore,6,8 Marla
