Location,Price,Beds,Area
"F-11/1, F-11",16 Crore,6,1 Kanal
"F-11, Islamabad",25 Crore,7,1.3 Kanal
"F-7, Islamabad",1.35 Arab,10,4 Kanal
"I-8/2, I-8",18 Crore,8,14 Marla
"DHA Defence Phase 2, DHA Defence",11.9 Crore,6,1 Kanal
"F-7, Islamabad",32 Crore,5,1 Kanal
"Gulberg Residencia - Block I, Gulberg Residencia",6.5 Crore,8,1 Kanal
"F-7, Islamabad",45 Crore,6,2 Kanal
"PWD Housing Scheme, Islamabad",3.9 Crore,5,10 Marla
"Bahria Enclave, Bahria Town",2.85 Crore,3,5 Marla
"G-13/2, G-13",5.5 Crore,4,7 Marla
"E-11, Islamabad",20 Crore,9,1 Kanal
"H-13, Islamabad",1.55 Crore,3,5 Marla
"Bahria Enclave - Sector G, Bahria Enclave",3.25 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",14 Crore,6,1 Kanal
"Soan Garden, Islamabad",4.7 Crore,5,1 Kanal
"Pakistan Town - Phase 1, Pakistan Town",2.5 Crore,4,6 Marla
"PWD Housing Scheme, Islamabad",6.75 Crore,6,12 Marla
"Soan Garden, Islamabad",2.8 Crore,4,6 Marla
"D-12, Islamabad",4.25 Crore,4,4 Marla
"F-7, Islamabad",1.4 Arab,8,4 Kanal
"F-11/3, F-11",20 Crore,6,1 Kanal
"F-7/1, F-7",90 Crore,6,4 Kanal
"F-7/3, F-7",80 Crore,4,2.5 Kanal
"F-11/1, F-11",26.5 Crore,9,1.6 Kanal
"F-10/2, F-10",21 Crore,6,1.4 Kanal
"F-8/1, F-8",23 Crore,6,1 Kanal
"F-6/3, F-6",2.5 Arab,6,5.4 Kanal
"F-7, Islamabad",29 Crore,6,1.3 Kanal
"F-7, Islamabad",26 Crore,5,1.3 Kanal
"I-8/3, I-8",12.5 Crore,8,14.2 Marla
"Bahria Enclave - Sector N, Bahria Enclave",1.7 Crore,5,8 Marla
"I-8/2, I-8",14.5 Crore,6,14.2 Marla
"G-11, Islamabad",6.75 Crore,6,8 Marla
"G-11, Islamabad",17 Crore,6,1 Kanal
"G-13, Islamabad",11 Crore,6,14 Marla
"G-13, Islamabad",8.5 Crore,7,10 Marla
"G-11, Islamabad",4.35 Crore,4,4.4 Marla
"DHA Phase 2 - Sector E, DHA Defence Phase 2",14.99 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,5,1 Kanal
"PWD Housing Society - Block C, PWD Housing Scheme",5.5 Crore,6,12 Marla
"D-12/4, D-12",25 Crore,9,1 Kanal
"Bahria Enclave - Sector H, Bahria Enclave",2.85 Crore,4,6 Marla
"DHA Phase 2 - Sector C, DHA Defence Phase 2",12 Crore,6,1 Kanal
"DHA Phase 2 - Sector J, DHA Defence Phase 2",10.75 Crore,6,1 Kanal
"F-11/3, F-11",9.5 Crore,4,9.3 Marla
"F-11/1, F-11",18 Crore,6,1.3 Kanal
"F-10/4, F-10",38 Crore,6,2 Kanal
"F-11, Islamabad",28 Crore,9,1.3 Kanal
"F-11, Islamabad",28 Crore,9,1.3 Kanal
"F-7/1, F-7",30 Crore,6,1 Kanal
"F-10/4, F-10",30 Crore,6,2 Kanal
"F-11/3, F-11",35 Crore,6,1.8 Kanal
"I-8/2, I-8",11.75 Crore,6,12.4 Marla
"Soan Garden - Block H, Soan Garden",4.1 Crore,6,10 Marla
"Soan Garden - Block H, Soan Garden",4 Crore,6,10 Marla
"DHA Defence Phase 2, DHA Defence",11.65 Crore,6,1 Kanal
"G-13/1, G-13",3.25 Crore,4,4 Marla
"G-13, Islamabad",3.85 Crore,4,4 Marla
"G-11, Islamabad",5.5 Crore,5,5 Marla
"Top City 1 - Block A, Top City 1",4.4 Crore,6,10 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",5.35 Crore,6,14 Marla
"Bani Gala, Islamabad",2.25 Crore,3,10 Marla
"DHA Defence Phase 2, DHA Defence",14.48 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.75 Crore,6,1 Kanal
"DHA Phase 2 - Sector G, DHA Defence Phase 2",26 Crore,6,2 Kanal
"DHA Phase 2 - Sector A, DHA Defence Phase 2",22 Crore,6,1.7 Kanal
"MPCHS - Multi Gardens, B-17",4.25 Crore,4,9 Marla
"DHA Phase 1 - Sector F, DHA Defence Phase 1",16 Crore,5,1.7 Kanal
"DHA Phase 1 - Sector F, DHA Defence Phase 1",7.25 Crore,5,15 Marla
"F-11/2, F-11",13.5 Crore,4,16 Marla
"Chak Shahzad, Islamabad",3.7 Crore,4,8 Marla
"Bahria Town, Islamabad",9.3 Crore,5,1 Kanal
"Bahria Town, Islamabad",8.9 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.9 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",7.8 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",12 Crore,6,1 Kanal
"G-13, Islamabad",6.9 Crore,4,7 Marla
"Bahria Enclave - Sector M, Bahria Enclave",5 Crore,5,10 Marla
"D-12/4, D-12",7.8 Crore,6,8 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.4 Crore,3,5 Marla
"F-6/3, F-6",60 Crore,6,2 Kanal
"I-8/3, I-8",14 Crore,6,14.2 Marla
"F-6, Islamabad",88 Crore,7,1.9 Kanal
"F-7, Islamabad",88 Crore,7,1.9 Kanal
"I-8, Islamabad",11.5 Crore,3,14.2 Marla
"Soan Garden - Block F, Soan Garden",5.2 Crore,5,1 Kanal
"G-10, Islamabad",14 Crore,6,18 Marla
"DHA Defence Phase 2, DHA Defence",11.5 Crore,5,1 Kanal
"F-6, Islamabad",35 Crore,6,1.4 Kanal
"DHA Defence Phase 2, DHA Defence",7.5 Crore,5,1 Kanal
"DHA Phase 1 - Sector C, DHA Defence Phase 1",26 Crore,5,1 Kanal
"DHA Defence Phase 1, DHA Defence",8.1 Crore,6,1.2 Kanal
"F-15/1, F-15",4.6 Crore,8,10 Marla
"G-13, Islamabad",17 Crore,6,14 Marla
"G-13, Islamabad",6.75 Crore,5,7 Marla
"Bahria Enclave, Bahria Town",2.1 Crore,3,5 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.35 Crore,3,5 Marla
"F-7, Islamabad",42.5 Crore,6,1.3 Kanal
"G-13, Islamabad",6.75 Crore,4,7 Marla
"G-13, Islamabad",6.5 Crore,4,7 Marla
"G-13, Islamabad",8.75 Crore,6,7 Marla
"Bahria Enclave - Sector I, Bahria Enclave",2.15 Crore,4,5 Marla
"F-10, Islamabad",28 Crore,10,2 Kanal
"F-10/3, F-10",21 Crore,6,1.3 Kanal
"F-8, Islamabad",22.5 Crore,5,1 Kanal
"F-8, Islamabad",26 Crore,6,1.3 Kanal
"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",1.45 Crore,3,8 Marla
"Lilly Sector - Block A, DHA Valley - Lilly Sector",1.5 Crore,3,8 Marla
"MPCHS - Block B, MPCHS - Multi Gardens",5 Crore,6,10 Marla
"Soan Garden - Block C, Soan Garden",1.95 Crore,5,5 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.2 Crore,4,7 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.35 Crore,3,5 Marla
"Bahria Enclave, Bahria Town",2.2 Crore,4,5 Marla
"F-8, Islamabad",78.75 Crore,6,3.6 Kanal
"Soan Garden - Block F, Soan Garden",6.75 Crore,7,1 Kanal
"CBR Town Phase 1 - Block C, CBR Town Phase 1",3.5 Crore,5,6 Marla
"CBR Town, Islamabad",3.6 Crore,5,8 Marla
"Bani Gala, Islamabad",24 Crore,6,2.4 Kanal
"F-8, Islamabad",89 Crore,4,3.6 Kanal
"F-6, Islamabad",37 Crore,5,19.5 Marla
"F-7, Islamabad",39.5 Crore,8,1.3 Kanal
"F-6, Islamabad",27.8 Crore,6,17.8 Marla
"F-8, Islamabad",22.5 Crore,4,1.1 Kanal
"G-6/4, G-6",21 Crore,5,1.2 Kanal
"Gulberg Greens, Gulberg",3.1 Crore,6,7 Marla
"Bani Gala, Islamabad",16.9 Crore,6,4 Kanal
"Top City 1 - Block B, Top City 1",7 Crore,5,1 Kanal
"Top City 1 - Block D, Top City 1",3.9 Crore,5,10 Marla
"F-8, Islamabad",30 Crore,10,2 Kanal
"DHA Phase 2 - Sector H, DHA Defence Phase 2",11.35 Crore,5,1 Kanal
"Bahria Enclave - Sector N, Bahria Enclave",2.5 Crore,3,5 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.1 Crore,2,7 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.5 Crore,4,7 Marla
"Faisal Margalla City, B-17",2.3 Crore,4,5 Marla
"B-17, Islamabad",3.5 Crore,6,8 Marla
"F-15, Islamabad",3.85 Crore,4,10.9 Marla
"Bahria Enclave, Bahria Town",2.3 Crore,4,5 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",2.3 Crore,3,5 Marla
"Bani Gala, Islamabad",4.2 Crore,5,14 Marla
"F-8, Islamabad",29 Crore,7,1 Kanal
"F-6, Islamabad",24 Crore,4,1.2 Kanal
"G-11, Islamabad",4.5 Crore,4,5.6 Marla
